Temp	E	M	C	Chi	N_tot	lnZ	S
0.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.2	-0.12632400917477118	5.324676671000721e-10	0.09193069903753648	0.7586377853802712	1.0000000000321032	81.2534254009862	0.6218053525441007
0.30000000000000004	-0.11823000859897634	3.588707941899543e-10	0.06456294890724691	0.4864735082883331	1.0000000000010267	54.382481286587435	0.6550479245360847
0.4	-0.11304862217464041	2.3867018494127324e-10	0.04136044290192654	0.4084040559239811	0.9999999999940243	40.952735201041605	0.670113645844026
0.5	-0.10962234716542146	1.8587444456163794e-10	0.028341606416714477	0.353156704827164	0.9999999999905222	32.89705771269766	0.6778130186701077
0.6	-0.10720972871971617	1.2825712637887494e-10	0.02052506252378607	0.3106996441070029	1.0000000001436367	27.527582889199767	0.6822333375032592
0.7000000000000001	-0.10542518411855958	1.3654613952868635e-10	0.015514371769087099	0.2771023930650645	1.0000000016971056	23.69274439715722	0.6849940953397251
0.8	-0.10405369473806673	1.0887074749979989e-10	0.012146789646510375	0.24991961654814407	1.0000000129356859	20.81689762588822	0.6868302487519209
0.9	-0.10296567692820618	1.0578951873331193e-10	0.009853185426648637	0.22751126406684996	1.0000000611933255	18.580298745671445	0.6881135723143181
1.0	-0.10207546133584257	9.090712576275861e-11	0.008396810908519074	0.2087409659534415	1.0000002075604946	16.791129355596293	0.6890505732925369
1.1	-0.1013185811419375	8.000117388644149e-11	0.0077554427606902595	0.19280040500607118	1.000000554658548	15.327337901744276	0.6897674874909061
1.2000000000000002	-0.10063805360579155	7.500196658048185e-11	0.008052153034494499	0.1791009135703717	1.000001237142068	14.1075653412458	0.6903504680134027
1.3000000000000003	-0.0999757351696829	6.412170733689954e-11	0.009501445179829418	0.16720458851144757	1.0000024022115852	13.075491950883846	0.6908656658415069
1.4000000000000001	-0.09926707951232067	6.549086220913406e-11	0.012362475487697373	0.1567794131605455	1.0000041821231678	12.190893690069398	0.691369409010111
1.5000000000000002	-0.09843843824401688	5.634641119054613e-11	0.01689944594941095	0.14756932492696898	1.0000066731972215	11.42427650021846	0.6919130272854215
