Temp	E	M	C	Chi	N_tot	lnZ	S
0.7000000000000001	-0.4983441356622125	-2.217325150313401e-11	1.3744097697971214	0.19886886489723465	0.9917977975218994	7.080694480689246	0.7013583010466604
0.8	-0.4739179132230638	-1.1628883526254953e-11	1.289263668905902	0.1597963447994261	0.9921843320336341	6.285212888190459	0.7318938364934597
0.9	-0.44925721317612705	-7.662029154235151e-12	1.2145376214550416	0.14425521721582218	0.9924410529131489	5.669746742039109	0.759722936673862
1.0	-0.424201386863813	-4.934805212784111e-12	1.1542717162672056	0.13475540024024096	0.9925774286805529	5.180047823550849	0.7855367219648244
1.1	-0.39814526500678155	-6.336938748464434e-13	1.1089253782414707	0.12718665710343077	0.9926273283000016	4.781673211637148	0.8101690496309777
1.2000000000000002	-0.3706503114110114	-5.403286942773393e-12	1.0752119593146319	0.12048371351771558	0.9926342671069128	4.451714332119688	0.8340581822541364
1.3000000000000003	-0.34155525401953035	-3.521277841205926e-12	1.049054126926625	0.11434282832684	0.9926339542815752	4.17433234461343	0.8573392129627915
1.4000000000000001	-0.3109034075628158	-5.436408869494555e-12	1.0272073251702298	0.1086613390741783	0.9926488640261653	3.938217531268016	0.8800040572198187
1.5000000000000002	-0.27884999519621156	-8.421002786937271e-12	1.0075331360924966	0.10339037663219694	0.9926901578093115	3.735073706447038	0.9019999554914002
1.6	-0.24559879542329538	-4.741996045852457e-12	0.9887502769867786	0.09849534169227081	0.9927614885614566	3.5586752508557007	0.9232722823124995
1.7000000000000002	-0.21136769108342623	-4.1866270707249176e-12	0.9701322665356951	0.09394582307775334	0.9928622199721251	3.404258501319458	0.9437781654536193
1.8000000000000003	-0.17637185794367433	-1.2823317061137553e-12	0.9512889343455184	0.08971348931134662	0.9929895435205198	3.2681163919151506	0.9634885963452882
1.9000000000000001	-0.14081577843569315	-1.55171861801943e-12	0.9320323255786028	0.08577191507391238	0.9931397154717512	3.147321102500447	0.9823870812779743
2.0	-0.10488932179521426	-1.719509083031581e-12	0.9122980225876248	0.08209670561086299	0.9933087296142	3.0395298250203204	1.0004677048943131
2.1	-0.06876576031693926	-3.087055016588771e-12	0.892098011762191	0.07866554795586252	0.9934926743045174	2.942845934014489	1.0177333351882945
2.2	-0.0326008700896816	2.215173635942578e-12	0.8714909150831078	0.07545815425562097	0.9936879100610869	2.855717945906997	1.0341940775733474
2.3000000000000003	0.003467244334863784	3.2719942160991013e-12	0.8505622102608678	0.07245613590837603	0.9938911585477748	2.776864771630646	1.0498659064757614
2.4000000000000004	0.039317784211566176	3.4694584630832346e-12	0.829410687686768	0.06964284487181961	0.9940995328324305	2.7052196037652734	1.0647694591327088
2.5000000000000004	0.07484649194851623	-8.634253326498572e-13	0.8081391474942232	0.06700320788407686	0.9943105403982786	2.639887224701978	1.078928956844139
2.6	0.10996460728800872	-8.834923494630958e-13	0.7868481384500304	0.06452356651068931	0.9945220666784369	2.5801111276518154	1.092371258641916
2.7	0.14459764781666062	-6.460189009631861e-13	0.7656319283222078	0.06219152956730912	0.9947323469626816	2.5252479117739544	1.1051250450946708
2.8000000000000003	0.17868410148362335	2.0641601100013597e-13	0.7445761058672746	0.0599958401516083	0.9949399362303559	2.4747471369043565	1.1172201213908566
2.9000000000000004	0.21217409715773428	5.058743028796687e-12	0.723756356898931	0.057926257006728286	0.9951436707592967	2.4281353244934873	1.1286868466040212
3.0000000000000004	0.24502810191439994	1.1394751311043063e-12	0.7032380649739839	0.05597344955059513	0.9953426353434662	2.3850031408464587	1.1395556610266373
3.1	0.27721567938969427	-1.7441233185081027e-12	0.6830764697472458	0.05412890501769524	0.9955361285481308	2.344995047909209	1.149856714101845
3.2	0.30871433147044913	-3.836167079322149e-12	0.6633171850582842	0.05238484627481577	0.995723632146627	2.3078008832940675	1.159619571695299
3.3000000000000003	0.33950843237209727	-2.487530391688037e-12	0.6439969303080764	0.05073415907948722	0.9959047822163418	2.2731489644197462	1.168872995785422
3.4000000000000004	0.3695882621551616	-4.961901595470691e-12	0.6251443744554868	0.04917032743973165	0.9960793431811967	2.2408004035672944	1.1776447828115224
3.5000000000000004	0.3989491406933314	-7.449186383231026e-14	0.6067810185404117	0.0476873761986252	0.9962471859243074	2.2105443933459403	1.185961649630541
3.6	0.42759065574625243	-7.362705903931197e-14	0.5889220702482088	0.046279819916078484	0.996408269618712	2.1821942754715695	1.1938491580469597
3.7	0.4555159795788055	-2.937609937693853e-13	0.5715772786029184	0.044942616964685884	0.9965626220218855	2.1555842459245156	1.2013316760572899
3.8000000000000003	0.48273127264436844	3.410620897871746e-12	0.5547517106718228	0.043671128711727424	0.9967103278134937	2.1305665789821115	1.208432358295373
3.9000000000000004	0.5092451587081468	-4.5871143557772195e-12	0.5384464607910084	0.04246108270060069	0.9968515141483147	2.1070092786092847	1.2151731509464354
4.0	0.5350682743259243	1.0688808460992788e-12	0.5226592895514109	0.04130853981616083	0.996986343535593	2.0847940817501724	1.2215748067960606
4.1	0.5602128721887423	1.943722356354712e-12	0.5073851900889393	0.04020986445248796	0.9971150019005997	2.0638147555091555	1.2276569176033858
4.2	0.5846924882421884	-1.5667647715504939e-12	0.49261688656626074	0.03916169792962192	0.9972376945659689	2.043975637099602	1.2334379489992005
4.3	0.6085216473992956	-3.445096865695635e-13	0.47834527126060195	0.03816093427980241	0.9973546381549934	2.0251903795647292	1.2389352853273623
4.3999999999999995	0.6317156198890095	-1.8243794428482506e-12	0.4645597803400678	0.03720469851550619	0.9974660577694574	2.0073808687439527	1.244165275291948
4.5	0.6542902090620804	1.4178039175734999e-12	0.45124871870146266	0.0362903269547383	0.9975721813980756	1.990476286404061	1.2491432827306785
4.6	0.6762615742273417	-2.3984606945332214e-12	0.4383995377517418	0.035415349353845105	0.9976732385467988	1.9744122959714931	1.2538837351106553
4.7	0.697646080906476	1.3594015013049001e-12	0.4259990700330988	0.0345774727749034	0.9977694561777986	1.9591303339536603	1.2584001756973373
4.8	0.7184601747519017	3.2507075618573948e-12	0.41403372872543226	0.03377456693943107	0.9978610583864869	1.9445769904402521	1.262705311524826
4.9	0.7387202785276796	1.784408982028972e-12	0.4024896742210802	0.03300465093344306	0.9979482646348741	1.9307034666175618	1.2668110625335176
5.0	0.7584427027988785	-9.099916466496653e-13	0.391352953567512	0.03226588107215482	0.9980312865175329	1.9174650987963922	1.2707286101421413
