E	Esq	M	Msq	N_tot
0.0	0.0	0.0	0.0	0.0
-3.353855785430828	11.248348629467838	-0.5	0.25	1.0
-1.7320508075688759	2.999999999999995	-0.5	0.25	1.0
0.0	0.0	-0.5	0.25	1.0
0.47645203973079076	0.227006546163631	-0.5	0.25	1.0
0.9999999999999992	0.9999999999999984	-0.5	0.25	1.0
1.7320508075688772	2.9999999999999996	-0.5	0.25	1.0
1.8774037457000372	3.5246448243685298	-0.5	0.25	1.0
-5.085906592999707	25.866445872717886	-1.0	1.0	2.0
-3.353855785430822	11.248348629467795	-1.0	1.0	2.0
-2.877403745700037	8.279452315768603	-1.0	1.0	2.0
-2.35385578543083	5.5406370586061895	-1.0	1.0	2.0
-1.7320508075688776	3.0000000000000013	-1.0	1.0	2.0
-1.6218049778619532	2.6302513862178105	-1.0	1.0	2.0
-1.4764520397307894	2.1799106256252085	-1.0	1.0	2.0
-1.2555987678380855	1.5765282657965187	-1.0	1.0	2.0
-0.7320508075688688	0.535898384862233	-1.0	1.0	2.0
2.220446049250313e-15	4.930380657631324e-30	-1.0	1.0	2.0
0.14535293813116068	0.021127476623361025	-1.0	1.0	2.0
0.47645203973079164	0.22700654616363186	-1.0	1.0	2.0
1.0000000000000004	1.0000000000000009	-1.0	1.0	2.0
1.4764520397307916	2.179910625625215	-1.0	1.0	2.0
1.7320508075688774	3.0000000000000004	-1.0	1.0	2.0
1.8774037457000385	3.524644824368535	-1.0	1.0	2.0
2.208502847299669	4.877484826530744	-1.0	1.0	2.0
2.353855785430829	5.540637058606185	-1.0	1.0	2.0
2.7320508075688767	7.464101615137752	-1.0	1.0	2.0
2.877403745700037	8.279452315768603	-1.0	1.0	2.0
3.6094545532689155	13.028162172113706	-1.0	1.0	2.0
-5.085906592999705	25.866445872717865	-1.5	2.25	3.0
-4.609454553268914	21.24707127865152	-1.5	2.25	3.0
-4.085906592999694	16.694632686718368	-1.5	2.25	3.0
-3.3538557854308326	11.248348629467868	-1.5	2.25	3.0
-3.2085028472996644	10.294490521130054	-1.5	2.25	3.0
-2.8774037457000325	8.279452315768578	-1.5	2.25	3.0
-2.3538557854308255	5.540637058606168	-1.5	2.25	3.0
-1.8774037457000352	3.5246448243685227	-1.5	2.25	3.0
-1.621804977861955	2.6302513862178163	-1.5	2.25	3.0
-1.4764520397307903	2.179910625625211	-1.5	2.25	3.0
-1.2555987678380873	1.5765282657965232	-1.5	2.25	3.0
-1.1453529381311665	1.3118333528856956	-1.5	2.25	3.0
-0.9999999999999991	0.9999999999999982	-1.5	2.25	3.0
-0.7320508075688723	0.5358983848622381	-1.5	2.25	3.0
-0.6218049778619488	0.3866414304938986	-1.5	2.25	3.0
-0.4764520397307912	0.22700654616363145	-1.5	2.25	3.0
-0.2555987678380838	0.06533073012034665	-1.5	2.25	3.0
3.552713678800501e-15	1.262177448353619e-29	-1.5	2.25	3.0
0.14535293813115935	0.021127476623360637	-1.5	2.25	3.0
0.25559876783808555	0.06533073012034755	-1.5	2.25	3.0
0.4764520397307903	0.22700654616363058	-1.5	2.25	3.0
0.6218049778619514	0.3866414304939019	-1.5	2.25	3.0
0.9999999999999996	0.9999999999999991	-1.5	2.25	3.0
1.1453529381311607	1.3118333528856825	-1.5	2.25	3.0
1.4764520397307885	2.179910625625206	-1.5	2.25	3.0
1.87740374570004	3.524644824368541	-1.5	2.25	3.0
2.208502847299666	4.877484826530733	-1.5	2.25	3.0
2.3538557854308286	5.540637058606183	-1.5	2.25	3.0
2.7320508075688767	7.464101615137752	-1.5	2.25	3.0
2.8774037457000388	8.279452315768614	-1.5	2.25	3.0
3.2085028472996706	10.294490521130093	-1.5	2.25	3.0
3.3538557854308277	11.248348629467834	-1.5	2.25	3.0
3.609454553268915	13.028162172113703	-1.5	2.25	3.0
4.085906592999705	16.694632686718457	-1.5	2.25	3.0
4.6094545532689155	21.24707127865154	-1.5	2.25	3.0
-4.609454553268915	21.24707127865153	-2.0	4.0	4.0
-4.085906592999706	16.694632686718464	-2.0	4.0	4.0
-3.609454553268914	13.028162172113698	-2.0	4.0	4.0
-3.3538557854308317	11.248348629467861	-2.0	4.0	4.0
-3.208502847299669	10.294490521130083	-2.0	4.0	4.0
-2.8774037457000388	8.279452315768614	-2.0	4.0	4.0
-2.732050807568881	7.464101615137776	-2.0	4.0	4.0
-2.353855785430829	5.540637058606185	-2.0	4.0	4.0
-2.2085028472996693	4.877484826530746	-2.0	4.0	4.0
-1.8774037457000348	3.524644824368521	-2.0	4.0	4.0
-1.476452039730793	2.179910625625219	-2.0	4.0	4.0
-1.1453529381311585	1.3118333528856774	-2.0	4.0	4.0
-0.9999999999999987	0.9999999999999973	-2.0	4.0	4.0
-0.6218049778619514	0.3866414304939019	-2.0	4.0	4.0
-0.47645203973079386	0.22700654616363397	-2.0	4.0	4.0
-0.2555987678380838	0.06533073012034665	-2.0	4.0	4.0
-0.1453529381311549	0.021127476623359346	-2.0	4.0	4.0
-6.217248937900877e-15	3.865418435582958e-29	-2.0	4.0	4.0
0.2555987678380873	0.06533073012034847	-2.0	4.0	4.0
0.476452039730785	0.2270065461636255	-2.0	4.0	4.0
0.6218049778619497	0.3866414304938997	-2.0	4.0	4.0
0.7320508075688776	0.535898384862246	-2.0	4.0	4.0
