E	Esq	M	Msq	N_tot
0.0	0.0	0.0	0.0	0.0
-3.053560522014074	9.324231861602863	-0.5	0.25	1.0
-1.177903640989597	1.3874569874565497	-0.5	0.25	1.0
-0.27444018793973246	0.07531741675639568	-0.5	0.25	1.0
1.7763568394002505e-15	3.1554436208840472e-30	-0.5	0.25	1.0
1.0000000000000022	1.0000000000000044	-0.5	0.25	1.0
1.569497718995285	2.4633230899314027	-0.5	0.25	1.0
1.936406631948134	3.7496706442527157	-0.5	0.25	1.0
-4.231464163003684	17.90528896278447	-1.0	1.0	2.0
-3.3280007099538156	11.0755887254531	-1.0	1.0	2.0
-3.0535605220140876	9.324231861602946	-1.0	1.0	2.0
-2.0535605220140876	4.217110817574772	-1.0	1.0	2.0
-1.4840628030187948	2.202442403304002	-1.0	1.0	2.0
-1.4523438289293256	2.109302597429094	-1.0	1.0	2.0
-1.1779036409895949	1.3874569874565443	-1.0	1.0	2.0
-1.1171538900659486	1.2480328140894814	-1.0	1.0	2.0
-0.27444018793973335	0.07531741675639617	-1.0	1.0	2.0
-0.1779036409895971	0.031649705477355454	-1.0	1.0	2.0
0.3915940780056859	0.15334592192912322	-1.0	1.0	2.0
0.7255598120602675	0.5264370408769308	-1.0	1.0	2.0
0.7585029909585366	0.5753267872930458	-1.0	1.0	2.0
1.0000000000000004	1.0000000000000009	-1.0	1.0	2.0
1.295057531055551	1.6771740087436995	-1.0	1.0	2.0
1.5694977189952846	2.4633230899314014	-1.0	1.0	2.0
1.6619664440084025	2.7621324610099345	-1.0	1.0	2.0
1.9364066319481341	3.7496706442527166	-1.0	1.0	2.0
2.569497718995285	6.602318527921971	-1.0	1.0	2.0
2.936406631948134	8.622483908148984	-1.0	1.0	2.0
3.5059043509434176	12.291365317963987	-1.0	1.0	2.0
-4.5059043509434185	20.30317401985083	-1.5	2.25	3.0
-4.231464163003687	17.905288962784493	-1.5	2.25	3.0
-3.3280007099538196	11.075588725453127	-1.5	2.25	3.0
-3.231464163003687	10.442360636777119	-1.5	2.25	3.0
-2.6619664440083985	7.086065349026718	-1.5	2.25	3.0
-2.3280007099538187	5.419587305545484	-1.5	2.25	3.0
-2.295057531055548	5.267289070854787	-1.5	2.25	3.0
-2.0535605220140827	4.217110817574752	-1.5	2.25	3.0
-1.7585029909585321	3.0923327692101035	-1.5	2.25	3.0
-1.484062803018804	2.2024424033040297	-1.5	2.25	3.0
-1.4523438289293313	2.1093025974291106	-1.5	2.25	3.0
-1.3915940780056797	1.9365340779404778	-1.5	2.25	3.0
-1.1171538900659472	1.2480328140894785	-1.5	2.25	3.0
-0.48406280301880056	0.2343167972664181	-1.5	2.25	3.0
-0.45234382892933045	0.20461493957044738	-1.5	2.25	3.0
-0.1779036409895962	0.031649705477355135	-1.5	2.25	3.0
-0.11715389006595167	0.01372503395758509	-1.5	2.25	3.0
0.11715389006595522	0.013725033957585921	-1.5	2.25	3.0
0.3915940780056877	0.1533459219291246	-1.5	2.25	3.0
0.4523438289293331	0.2046149395704498	-1.5	2.25	3.0
0.484062803018805	0.2343167972664224	-1.5	2.25	3.0
0.7255598120602711	0.5264370408769359	-1.5	2.25	3.0
0.7585029909585392	0.5753267872930499	-1.5	2.25	3.0
1.295057531055551	1.6771740087436995	-1.5	2.25	3.0
1.391594078005686	1.9365340779404951	-1.5	2.25	3.0
1.661966444008402	2.762132461009933	-1.5	2.25	3.0
1.7585029909585361	3.0923327692101172	-1.5	2.25	3.0
2.2950575310555497	5.267289070854796	-1.5	2.25	3.0
2.3280007099538205	5.419587305545492	-1.5	2.25	3.0
2.5694977189952852	6.602318527921974	-1.5	2.25	3.0
2.6619664440084025	7.08606534902674	-1.5	2.25	3.0
2.9364066319481323	8.622483908148974	-1.5	2.25	3.0
3.231464163003686	10.442360636777114	-1.5	2.25	3.0
3.505904350943416	12.291365317963974	-1.5	2.25	3.0
4.505904350943417	20.303174019850815	-1.5	2.25	3.0
-4.505904350943417	20.303174019850815	-2.0	4.0	4.0
-3.5059043509434185	12.291365317963992	-2.0	4.0	4.0
-3.231464163003683	10.442360636777092	-2.0	4.0	4.0
-2.9364066319481323	8.622483908148974	-2.0	4.0	4.0
-2.6619664440084025	7.08606534902674	-2.0	4.0	4.0
-2.569497718995284	6.602318527921967	-2.0	4.0	4.0
-2.3280007099538182	5.419587305545482	-2.0	4.0	4.0
-2.2950575310555505	5.267289070854799	-2.0	4.0	4.0
-1.7585029909585361	3.0923327692101172	-2.0	4.0	4.0
-1.661966444008402	2.762132461009933	-2.0	4.0	4.0
-1.3915940780056877	1.9365340779405	-2.0	4.0	4.0
-1.2950575310555523	1.6771740087437028	-2.0	4.0	4.0
-0.7585029909585379	0.5753267872930479	-2.0	4.0	4.0
-0.7255598120602693	0.5264370408769333	-2.0	4.0	4.0
-0.4840628030188041	0.23431679726642154	-2.0	4.0	4.0
-0.452343828929334	0.20461493957045057	-2.0	4.0	4.0
-0.3915940780056859	0.15334592192912322	-2.0	4.0	4.0
-0.11715389006595434	0.013725033957585713	-2.0	4.0	4.0
0.11715389006594812	0.013725033957584258	-2.0	4.0	4.0
0.17790364098959355	0.03164970547735419	-2.0	4.0	4.0
0.452343828929326	0.20461493957044335	-2.0	4.0	4.0
0.48406280301880145	0.23431679726641896	-2.0	4.0	4.0
1.1171538900659508	1.2480328140894865	-2.0	4.0	4.0
1.3915940780056824	1.9365340779404852	-2.0	4.0	4.0
1.4523438289293322	2.1093025974291133	-2.0	4.0	4.0
1.4840628030187988	2.2024424033040138	-2.0	4.0	4.0
1.758502990958533	3.0923327692101066	-2.0	4.0	4.0
2.05356052201408	4.217110817574741	-2.0	4.0	4.0
2.295057531055548	5.267289070854787	-2.0	4.0	4.0
2.328000709953816	5.4195873055454715	-2.0	4.0	4.0
2.661966444008396	7.086065349026704	-2.0	4.0	4.0
3.2314641630036807	10.442360636777078	-2.0	4.0	4.0
3.3280007099538214	11.075588725453139	-2.0	4.0	4.0
4.231464163003683	17.90528896278446	-2.0	4.0	4.0
4.5059043509434185	20.30317401985083	-2.0	4.0	4.0
-3.5059043509434176	12.291365317963987	-2.5	6.25	5.0
-2.9364066319481346	8.622483908148988	-2.5	6.25	5.0
-2.569497718995285	6.602318527921971	-2.5	6.25	5.0
-1.9364066319481334	3.749670644252714	-2.5	6.25	5.0
-1.661966444008401	2.7621324610099296	-2.5	6.25	5.0
-1.5694977189952852	2.463323089931403	-2.5	6.25	5.0
-1.295057531055551	1.6771740087436995	-2.5	6.25	5.0
-1.0000000000000004	1.0000000000000009	-2.5	6.25	5.0
-0.7585029909585357	0.5753267872930444	-2.5	6.25	5.0
-0.7255598120602675	0.5264370408769308	-2.5	6.25	5.0
-0.39159407800568635	0.15334592192912358	-2.5	6.25	5.0
0.17790364098959888	0.031649705477356085	-2.5	6.25	5.0
0.2744401879397307	0.0753174167563947	-2.5	6.25	5.0
1.1171538900659486	1.2480328140894814	-2.5	6.25	5.0
1.1779036409895967	1.3874569874565486	-2.5	6.25	5.0
1.45234382892933	2.109302597429107	-2.5	6.25	5.0
1.4840628030188001	2.2024424033040177	-2.5	6.25	5.0
2.053560522014086	4.217110817574764	-2.5	6.25	5.0
3.053560522014084	9.324231861602925	-2.5	6.25	5.0
3.3280007099538165	11.075588725453107	-2.5	6.25	5.0
4.231464163003688	17.9052889627845	-2.5	6.25	5.0
-1.936406631948134	3.7496706442527157	-3.0	9.0	6.0
-1.5694977189952837	2.4633230899313983	-3.0	9.0	6.0
-1.0000000000000013	1.0000000000000027	-3.0	9.0	6.0
-3.1086244689504383e-15	9.663546088957395e-30	-3.0	9.0	6.0
0.2744401879397307	0.0753174167563947	-3.0	9.0	6.0
1.177903640989593	1.3874569874565403	-3.0	9.0	6.0
3.05356052201409	9.32423186160296	-3.0	9.0	6.0
0.0	0.0	-3.5	12.25	7.0
-3.053560522014074	9.324231861602863	0.5	0.25	1.0
-1.177903640989597	1.3874569874565497	0.5	0.25	1.0
-0.27444018793973246	0.07531741675639568	0.5	0.25	1.0
1.7763568394002505e-15	3.1554436208840472e-30	0.5	0.25	1.0
1.0000000000000022	1.0000000000000044	0.5	0.25	1.0
1.569497718995285	2.4633230899314027	0.5	0.25	1.0
1.936406631948134	3.7496706442527157	0.5	0.25	1.0
-5.169561750812324	26.72436869546178	0.0	0.0	2.0
-4.231464163003679	17.905288962784425	0.0	0.0	2.0
-3.558321338025806	12.661650744649762	0.0	0.0	2.0
-3.328000709953817	11.075588725453109	0.0	0.0	2.0
-3.0535605220140827	9.324231861602916	0.0	0.0	2.0
-2.9643364635524594	8.787290669146701	0.0	0.0	2.0
-2.305236825742215	5.314116822758042	0.0	0.0	2.0
-2.0535605220140902	4.217110817574783	0.0	0.0	2.0
-1.7614501588915252	3.1027066622589796	0.0	0.0	2.0
-1.4840628030188054	2.2024424033040337	0.0	0.0	2.0
-1.452343828929335	2.1093025974291213	0.0	0.0	2.0
-1.331352857406805	1.7725004309252643	0.0	0.0	2.0
-1.1779036409896002	1.387456987456557	0.0	0.0	2.0
-1.1171538900659552	1.2480328140894963	0.0	0.0	2.0
-0.9671439299116322	0.9353673811649162	0.0	0.0	2.0
-0.6458439322930971	0.4171143848798106	0.0	0.0	2.0
-0.4884526619977958	0.23858600301273294	0.0	0.0	2.0
-0.274440187939736	0.07531741675639762	0.0	0.0	2.0
-0.1779036409895971	0.031649705477355454	0.0	0.0	2.0
-0.1637898711411916	0.026827121888448144	0.0	0.0	2.0
0.19696795083583662	0.038796373656468555	0.0	0.0	2.0
0.39159407800568147	0.15334592192911975	0.0	0.0	2.0
0.4739302487456385	0.22460988067610277	0.0	0.0	2.0
0.523847553296954	0.27441625909520506	0.0	0.0	2.0
0.7255598120602658	0.5264370408769282	0.0	0.0	2.0
0.7585029909585357	0.5753267872930444	0.0	0.0	2.0
0.8992285729650389	0.8086120264367402	0.0	0.0	2.0
1.0000000000000009	1.0000000000000018	0.0	0.0	2.0
1.2950575310555452	1.6771740087436844	0.0	0.0	2.0
1.3309476928340365	1.7714217610602447	0.0	0.0	2.0
1.5356006147150465	2.3580692479132286	0.0	0.0	2.0
1.5694977189952803	2.463323089931388	0.0	0.0	2.0
1.5882873470167187	2.5226566966934065	0.0	0.0	2.0
1.6619664440083959	2.7621324610099123	0.0	0.0	2.0
1.701250267650373	2.8942524731804653	0.0	0.0	2.0
1.936406631948123	3.7496706442526735	0.0	0.0	2.0
2.417886745570981	5.84617631440783	0.0	0.0	2.0
2.569497718995293	6.602318527922012	0.0	0.0	2.0
2.7410395121838134	7.513297607352878	0.0	0.0	2.0
2.9364066319481426	8.622483908149034	0.0	0.0	2.0
3.198525935173154	10.2305681579753	0.0	0.0	2.0
3.5059043509434202	12.291365317964004	0.0	0.0	2.0
12.079208367159836	145.9072747772642	0.0	0.0	2.0
12.098774808200965	146.3803518595583	0.0	0.0	2.0
12.238457890739962	149.77985154341525	0.0	0.0	2.0
12.353302745241933	152.60408871560188	0.0	0.0	2.0
12.480753033977013	155.76919629512642	0.0	0.0	2.0
12.616310870390457	159.1712999783324	0.0	0.0	2.0
12.881169633077107	165.9245311161078	0.0	0.0	2.0
-5.854548887112787	34.27574267159358	-0.5	0.25	3.0
-5.248355910270553	27.545239760871848	-0.5	0.25	3.0
-4.791934603045172	22.962637239861692	-0.5	0.25	3.0
-4.505904350943419	20.303174019850836	-0.5	0.25	3.0
-4.448239668570984	19.7868361490485	-0.5	0.25	3.0
-4.231464163003686	17.905288962784486	-0.5	0.25	3.0
-3.876864760930779	15.030080374546868	-0.5	0.25	3.0
-3.750141529684953	14.063561492667798	-0.5	0.25	3.0
-3.6077202946483315	13.015645724417444	-0.5	0.25	3.0
-3.3798278321082322	11.423236174693432	-0.5	0.25	3.0
-3.3280007099538205	11.075588725453134	-0.5	0.25	3.0
-3.231464163003688	10.442360636777128	-0.5	0.25	3.0
-3.166162828272396	10.024587055133857	-0.5	0.25	3.0
-3.064279153547011	9.389806730862787	-0.5	0.25	3.0
-2.9207060779468104	8.53052399375544	-0.5	0.25	3.0
-2.6619664440083977	7.086065349026714	-0.5	0.25	3.0
-2.6133595401882013	6.8296480862926865	-0.5	0.25	3.0
-2.449939454845338	6.002203332407872	-0.5	0.25	3.0
-2.4005944513197597	5.762853719707218	-0.5	0.25	3.0
-2.3280007099538222	5.419587305545501	-0.5	0.25	3.0
-2.295057531055554	5.267289070854815	-0.5	0.25	3.0
-2.1228454055971477	4.506472616064919	-0.5	0.25	3.0
-2.085199945554787	4.348058812941687	-0.5	0.25	3.0
-2.0535605220140827	4.217110817574752	-0.5	0.25	3.0
-1.8806159658196973	3.5367164108959526	-0.5	0.25	3.0
-1.7585029909585321	3.0923327692101035	-0.5	0.25	3.0
-1.7313809783877794	2.9976800923230242	-0.5	0.25	3.0
-1.5616367037317804	2.4387091944422608	-0.5	0.25	3.0
-1.5171889845283868	2.3018624147742774	-0.5	0.25	3.0
-1.4840628030187988	2.2024424033040138	-0.5	0.25	3.0
-1.4523438289293313	2.1093025974291106	-0.5	0.25	3.0
-1.391594078005693	1.936534077940515	-0.5	0.25	3.0
-1.3887294222433773	1.9285694082044245	-0.5	0.25	3.0
-1.3498228688767018	1.8220217773425296	-0.5	0.25	3.0
-1.2700560479599226	1.613042364959577	-0.5	0.25	3.0
-1.2183006088269472	1.4842563734681102	-0.5	0.25	3.0
-1.1171538900659481	1.2480328140894805	-0.5	0.25	3.0
-1.086222929744653	1.1798802531030574	-0.5	0.25	3.0
-0.8613254806446422	0.7418815836077239	-0.5	0.25	3.0
-0.7561152387468866	0.5717102542652612	-0.5	0.25	3.0
-0.7296636125295102	0.5324089874496152	-0.5	0.25	3.0
-0.5415032724499129	0.2932257940739646	-0.5	0.25	3.0
-0.5002431968543117	0.2502432559990217	-0.5	0.25	3.0
-0.48406280301880766	0.234316797266425	-0.5	0.25	3.0
-0.4523438289293349	0.20461493957045138	-0.5	0.25	3.0
-0.40617863759619066	0.1649810856394976	-0.5	0.25	3.0
-0.3366628303845305	0.11334186136252314	-0.5	0.25	3.0
-0.23800862795142663	0.05664810697932062	-0.5	0.25	3.0
-0.17790364098960154	0.031649705477357036	-0.5	0.25	3.0
-0.16857859426223776	0.02841874244343218	-0.5	0.25	3.0
-0.11715389006595611	0.01372503395758613	-0.5	0.25	3.0
-0.07771276451401032	0.006039273768410023	-0.5	0.25	3.0
0.017801061489124415	0.00031687779013958833	-0.5	0.25	3.0
0.11715389006595078	0.013725033957584882	-0.5	0.25	3.0
0.14057375239630332	0.019760979862777195	-0.5	0.25	3.0
0.2265709134140268	0.05133437880526643	-0.5	0.25	3.0
0.2868173536799441	0.08226419437196614	-0.5	0.25	3.0
0.37275303850920327	0.13894482771784358	-0.5	0.25	3.0
0.39159407800568236	0.15334592192912044	-0.5	0.25	3.0
0.45234382892932645	0.20461493957044374	-0.5	0.25	3.0
0.45776333052073026	0.20954726676943133	-0.5	0.25	3.0
0.48406280301879345	0.23431679726641122	-0.5	0.25	3.0
0.5463573557496471	0.29850636018174637	-0.5	0.25	3.0
0.6105890238119702	0.37281895599965476	-0.5	0.25	3.0
0.680043402356274	0.4624590290882972	-0.5	0.25	3.0
0.7255598120602667	0.5264370408769294	-0.5	0.25	3.0
0.7585029909585348	0.5753267872930431	-0.5	0.25	3.0
0.8004728145626636	0.6407567268538724	-0.5	0.25	3.0
0.9007873727145412	0.8114178908419658	-0.5	0.25	3.0
0.9361328019214898	0.8763446228333793	-0.5	0.25	3.0
1.0836791802900212	1.1743605657940523	-0.5	0.25	3.0
1.2686564287013704	1.6094891340853152	-0.5	0.25	3.0
1.2950575310555505	1.6771740087436984	-0.5	0.25	3.0
1.3314497617393553	1.772758468035786	-0.5	0.25	3.0
1.3915940780056868	1.9365340779404976	-0.5	0.25	3.0
1.468980703063277	2.15790430597228	-0.5	0.25	3.0
1.4948315047677765	2.234521227646295	-0.5	0.25	3.0
1.583990270008604	2.50902517548193	-0.5	0.25	3.0
1.661966444008399	2.762132461009923	-0.5	0.25	3.0
1.6625677664374356	2.7641315779967637	-0.5	0.25	3.0
1.758502990958542	3.0923327692101377	-0.5	0.25	3.0
1.7909286036863916	3.2074252635020883	-0.5	0.25	3.0
1.871132366015659	3.5011363311513577	-0.5	0.25	3.0
2.1202248654521263	4.495353480081487	-0.5	0.25	3.0
2.207979294581122	4.875172565298949	-0.5	0.25	3.0
2.295057531055553	5.267289070854812	-0.5	0.25	3.0
2.315695296940131	5.362444708270641	-0.5	0.25	3.0
2.3280007099538285	5.419587305545529	-0.5	0.25	3.0
2.3383135013884377	5.467710030775455	-0.5	0.25	3.0
2.4620947736326535	6.061910674349227	-0.5	0.25	3.0
2.4853120364337453	6.17677591844245	-0.5	0.25	3.0
2.5694977189952954	6.6023185279220264	-0.5	0.25	3.0
2.6245067130408586	6.888035486796531	-0.5	0.25	3.0
2.6619664440083906	7.086065349026676	-0.5	0.25	3.0
2.72552817482452	7.428503831762279	-0.5	0.25	3.0
2.8814608511281037	8.302816636583895	-0.5	0.25	3.0
2.9364066319481292	8.622483908148956	-0.5	0.25	3.0
3.1223894568239823	9.749315920085563	-0.5	0.25	3.0
3.1301704607263265	9.797967113203663	-0.5	0.25	3.0
3.2314641630036807	10.442360636777078	-0.5	0.25	3.0
3.3089339425139066	10.949043835920625	-0.5	0.25	3.0
3.5059043509434105	12.291365317963937	-0.5	0.25	3.0
3.9438755571030732	15.554154409915077	-0.5	0.25	3.0
4.264677479175933	18.187474001390395	-0.5	0.25	3.0
4.505904350943419	20.303174019850836	-0.5	0.25	3.0
9.05722030539553	82.0332396604691	-0.5	0.25	3.0
9.084966135563233	82.53660968433074	-0.5	0.25	3.0
9.359199608578741	87.59461731322047	-0.5	0.25	3.0
9.522337138757598	90.67490458416223	-0.5	0.25	3.0
9.834023893155464	96.70802593115256	-0.5	0.25	3.0
10.010299499759004	100.20609607487536	-0.5	0.25	3.0
10.760763143952774	115.79402344025239	-0.5	0.25	3.0
10.931125277035653	119.48949982224778	-0.5	0.25	3.0
10.959101503516875	120.10190576438583	-0.5	0.25	3.0
11.026558970423322	121.58500272822303	-0.5	0.25	3.0
11.133172970189586	123.94754038416	-0.5	0.25	3.0
11.282287970702475	127.29002185385777	-0.5	0.25	3.0
11.766252629409363	138.44470093908276	-0.5	0.25	3.0
11.840743876897571	140.20321555828733	-0.5	0.25	3.0
11.878259182377827	141.09304120374316	-0.5	0.25	3.0
11.976633444389906	143.43974866127883	-0.5	0.25	3.0
12.035490926157719	144.8530418336248	-0.5	0.25	3.0
12.11401811098755	146.74943479333436	-0.5	0.25	3.0
12.145176978467033	147.50532383828562	-0.5	0.25	3.0
12.229601228162968	149.56314619988518	-0.5	0.25	3.0
12.34441184162875	152.3845037157441	-0.5	0.25	3.0
12.40716085744364	153.93764054248163	-0.5	0.25	3.0
12.502534531231388	156.3133697046333	-0.5	0.25	3.0
12.585842721650112	158.40343701411308	-0.5	0.25	3.0
12.882057420601063	165.94740338766292	-0.5	0.25	3.0
13.037935653345611	169.98776610078065	-0.5	0.25	3.0
13.126909812147746	172.31576121626077	-0.5	0.25	3.0
13.17790362260458	173.65714388665492	-0.5	0.25	3.0
13.255865481014185	175.71796965074344	-0.5	0.25	3.0
13.469493250417761	181.42724842304963	-0.5	0.25	3.0
13.562788188904674	183.94922345709213	-0.5	0.25	3.0
13.701848644883539	187.74065628729687	-0.5	0.25	3.0
13.727088780485277	188.43296638732477	-0.5	0.25	3.0
