E	Esq	M	Msq	N_tot
0.0	0.0	0.0	0.0	0.0
-3.275496335080293	10.72887624112443	-0.5	0.25	1.0
-1.2331152174099451	1.5205731394079762	-0.5	0.25	1.0
-0.2047697705875995	0.041930658946498126	-0.5	0.25	1.0
4.440892098500626e-16	1.9721522630525295e-31	-0.5	0.25	1.0
1.1450231948438456	1.3110781167304073	-0.5	0.25	1.0
1.6597765357588694	2.7548581486557135	-0.5	0.25	1.0
1.9085815924751353	3.6426836951349233	-0.5	0.25	1.0
-4.50861155249025	20.327578131248544	-1.0	1.0	2.0
-3.4802661056679005	12.112252166260815	-1.0	1.0	2.0
-3.275496335080298	10.728876241124464	-1.0	1.0	2.0
-2.1304731402364574	4.538915801268992	-1.0	1.0	2.0
-1.6157197993214272	2.6105504699192728	-1.0	1.0	2.0
-1.4378849879975464	2.0675132387087043	-1.0	1.0	2.0
-1.36691474260516	1.8684559135513308	-1.0	1.0	2.0
-1.233115217409944	1.5205731394079736	-1.0	1.0	2.0
-0.20476977058760415	0.041930658946500034	-1.0	1.0	2.0
-0.08809202256610238	0.007760204439786691	-1.0	1.0	2.0
0.4266613183489216	0.18203988057523984	-1.0	1.0	2.0
0.6754663750651897	0.4562548238437075	-1.0	1.0	2.0
0.9402534242562441	0.8840765018255926	-1.0	1.0	2.0
1.1450231948438456	1.3110781167304073	-1.0	1.0	2.0
1.4550067651712655	2.11704468669415	-1.0	1.0	2.0
1.6597765357588705	2.754858148655717	-1.0	1.0	2.0
1.7038118218875338	2.902974724403717	-1.0	1.0	2.0
1.9085815924751366	3.642683695134928	-1.0	1.0	2.0
2.8047997306027153	7.8669015287890645	-1.0	1.0	2.0
3.0536047873189807	9.324502197137397	-1.0	1.0	2.0
3.568358128234004	12.733179731333683	-1.0	1.0	2.0
-4.713381323077851	22.21596349673911	-1.5	2.25	3.0
-4.508611552490244	20.327578131248487	-1.5	2.25	3.0
-3.4802661056678996	12.112252166260808	-1.5	2.25	3.0
-3.3635883576463996	11.313726639694403	-1.5	2.25	3.0
-2.8488350167313747	8.115860952554852	-1.5	2.25	3.0
-2.600029960015111	6.76015579297618	-1.5	2.25	3.0
-2.3352429108240553	5.453359452554007	-1.5	2.25	3.0
-2.1304731402364503	4.538915801268962	-1.5	2.25	3.0
-1.8204895699090313	3.3141822741475697	-1.5	2.25	3.0
-1.6157197993214298	2.6105504699192816	-1.5	2.25	3.0
-1.571684513192766	2.4701922090099817	-1.5	2.25	3.0
-1.4378849879975473	2.0675132387087065	-1.5	2.25	3.0
-1.3669147426051635	1.8684559135513406	-1.5	2.25	3.0
-0.47069660447758377	0.22155529346672692	-1.5	2.25	3.0
-0.29286179315370564	0.08576802988920387	-1.5	2.25	3.0
-0.22189154776131925	0.049235858967913826	-1.5	2.25	3.0
-0.0880920225661006	0.007760204439786378	-1.5	2.25	3.0
0.2218915477613228	0.0492358589679154	-1.5	2.25	3.0
0.29286179315370564	0.08576802988920387	-1.5	2.25	3.0
0.4266613183489234	0.18203988057524137	-1.5	2.25	3.0
0.47069660447758643	0.22155529346672945	-1.5	2.25	3.0
0.6754663750651906	0.45625482384370875	-1.5	2.25	3.0
0.9402534242562446	0.8840765018255935	-1.5	2.25	3.0
1.455006765171266	2.1170446866941512	-1.5	2.25	3.0
1.5716845131927673	2.4701922090099857	-1.5	2.25	3.0
1.703811821887533	2.9029747244037147	-1.5	2.25	3.0
1.8204895699090362	3.3141822741475875	-1.5	2.25	3.0
2.335242910824058	5.453359452554019	-1.5	2.25	3.0
2.6000299600151098	6.760155792976174	-1.5	2.25	3.0
2.8047997306027144	7.866901528789059	-1.5	2.25	3.0
2.8488350167313796	8.11586095255488	-1.5	2.25	3.0
3.0536047873189793	9.32450219713739	-1.5	2.25	3.0
3.3635883576464014	11.313726639694416	-1.5	2.25	3.0
3.5683581282340047	12.733179731333689	-1.5	2.25	3.0
4.71338132307785	22.215963496739104	-1.5	2.25	3.0
-4.71338132307785	22.215963496739104	-2.0	4.0	4.0
-3.5683581282340056	12.733179731333696	-2.0	4.0	4.0
-3.3635883576464023	11.313726639694423	-2.0	4.0	4.0
-3.053604787318979	9.324502197137386	-2.0	4.0	4.0
-2.8488350167313787	8.115860952554875	-2.0	4.0	4.0
-2.804799730602713	7.866901528789052	-2.0	4.0	4.0
-2.6000299600151098	6.760155792976174	-2.0	4.0	4.0
-2.335242910824059	5.453359452554023	-2.0	4.0	4.0
-1.8204895699090375	3.3141822741475924	-2.0	4.0	4.0
-1.7038118218875349	2.902974724403721	-2.0	4.0	4.0
-1.5716845131927695	2.470192209009993	-2.0	4.0	4.0
-1.455006765171266	2.1170446866941512	-2.0	4.0	4.0
-0.940253424256241	0.8840765018255868	-2.0	4.0	4.0
-0.6754663750651897	0.4562548238437075	-2.0	4.0	4.0
-0.4706966044775891	0.22155529346673195	-2.0	4.0	4.0
-0.4266613183489243	0.18203988057524212	-2.0	4.0	4.0
-0.29286179315370564	0.08576802988920387	-2.0	4.0	4.0
-0.22189154776132103	0.04923585896791461	-2.0	4.0	4.0
0.08809202256609794	0.007760204439785909	-2.0	4.0	4.0
0.2218915477613157	0.049235858967912244	-2.0	4.0	4.0
0.29286179315369854	0.08576802988919971	-2.0	4.0	4.0
0.4706966044775891	0.22155529346673195	-2.0	4.0	4.0
1.3669147426051635	1.8684559135513406	-2.0	4.0	4.0
1.4378849879975508	2.0675132387087167	-2.0	4.0	4.0
1.5716845131927668	2.4701922090099844	-2.0	4.0	4.0
1.615719799321428	2.610550469919276	-2.0	4.0	4.0
1.8204895699090304	3.3141822741475666	-2.0	4.0	4.0
2.130473140236459	4.538915801269	-2.0	4.0	4.0
2.335242910824056	5.453359452554011	-2.0	4.0	4.0
2.600029960015112	6.760155792976185	-2.0	4.0	4.0
2.8488350167313765	8.115860952554863	-2.0	4.0	4.0
3.363588357646403	11.313726639694428	-2.0	4.0	4.0
3.4802661056679067	12.112252166260857	-2.0	4.0	4.0
4.5086115524902475	20.32757813124852	-2.0	4.0	4.0
4.713381323077851	22.21596349673911	-2.0	4.0	4.0
-3.5683581282340042	12.733179731333687	-2.5	6.25	5.0
-3.053604787318982	9.324502197137406	-2.5	6.25	5.0
-2.804799730602715	7.866901528789062	-2.5	6.25	5.0
-1.9085815924751357	3.642683695134925	-2.5	6.25	5.0
-1.703811821887533	2.9029747244037147	-2.5	6.25	5.0
-1.6597765357588703	2.7548581486557167	-2.5	6.25	5.0
-1.4550067651712673	2.1170446866941552	-2.5	6.25	5.0
-1.145023194843846	1.3110781167304082	-2.5	6.25	5.0
-0.9402534242562433	0.8840765018255909	-2.5	6.25	5.0
-0.6754663750651888	0.4562548238437063	-2.5	6.25	5.0
-0.4266613183489225	0.1820398805752406	-2.5	6.25	5.0
0.08809202256610194	0.007760204439786612	-2.5	6.25	5.0
0.20476977058760237	0.041930658946499305	-2.5	6.25	5.0
1.233115217409944	1.5205731394079736	-2.5	6.25	5.0
1.3669147426051609	1.8684559135513332	-2.5	6.25	5.0
1.4378849879975464	2.0675132387087043	-2.5	6.25	5.0
1.6157197993214272	2.6105504699192728	-2.5	6.25	5.0
2.1304731402364547	4.53891580126898	-2.5	6.25	5.0
3.2754963350802937	10.728876241124436	-2.5	6.25	5.0
3.480266105667898	12.112252166260795	-2.5	6.25	5.0
4.5086115524902475	20.32757813124852	-2.5	6.25	5.0
-1.9085815924751355	3.642683695134924	-3.0	9.0	6.0
-1.6597765357588692	2.7548581486557127	-3.0	9.0	6.0
-1.1450231948438463	1.3110781167304089	-3.0	9.0	6.0
-3.552713678800501e-15	1.262177448353619e-29	-3.0	9.0	6.0
0.20476977058759904	0.041930658946497945	-3.0	9.0	6.0
1.2331152174099411	1.5205731394079665	-3.0	9.0	6.0
3.2754963350803017	10.728876241124489	-3.0	9.0	6.0
0.0	0.0	-3.5	12.25	7.0
-3.275496335080293	10.72887624112443	0.5	0.25	1.0
-1.2331152174099451	1.5205731394079762	0.5	0.25	1.0
-0.2047697705875995	0.041930658946498126	0.5	0.25	1.0
4.440892098500626e-16	1.9721522630525295e-31	0.5	0.25	1.0
1.1450231948438456	1.3110781167304073	0.5	0.25	1.0
1.6597765357588694	2.7548581486557135	0.5	0.25	1.0
1.9085815924751353	3.6426836951349233	0.5	0.25	1.0
-5.629670059668594	31.693184980728986	0.0	0.0	2.0
-4.508611552490245	20.327578131248494	0.0	0.0	2.0
-3.6740799527217893	13.498863498992145	0.0	0.0	2.0
-3.4802661056679	12.112252166260811	0.0	0.0	2.0
-3.2754963350803	10.728876241124476	0.0	0.0	2.0
-3.040855331068845	9.246801144489813	0.0	0.0	2.0
-2.5081023335678743	6.290577315648616	0.0	0.0	2.0
-2.1304731402364583	4.538915801268995	0.0	0.0	2.0
-1.8781555082961066	3.5274681133430064	0.0	0.0	2.0
-1.6157197993214307	2.6105504699192843	0.0	0.0	2.0
-1.6057635307892655	2.5784765168128083	0.0	0.0	2.0
-1.4378849879975526	2.067513238708722	0.0	0.0	2.0
-1.3669147426051653	1.8684559135513454	0.0	0.0	2.0
-1.2331152174099493	1.5205731394079867	0.0	0.0	2.0
-0.9587669132129921	0.9192339938719691	0.0	0.0	2.0
-0.6953251812500989	0.4834771076804829	0.0	0.0	2.0
-0.5315307104142502	0.2825248961134775	0.0	0.0	2.0
-0.20476977058760237	0.041930658946499305	0.0	0.0	2.0
-0.08809202256609971	0.007760204439786221	0.0	0.0	2.0
-0.023484676420211237	0.0005515300265620256	0.0	0.0	2.0
0.11254817420991614	0.012667091517985632	0.0	0.0	2.0
0.42666131834891985	0.18203988057523832	0.0	0.0	2.0
0.5731441093448	0.32849417007664405	0.0	0.0	2.0
0.6754663750651826	0.4562548238436979	0.0	0.0	2.0
0.8428296188998292	0.7103617664948314	0.0	0.0	2.0
0.9402534242562401	0.8840765018255852	0.0	0.0	2.0
1.0290998387049486	1.0590464780225513	0.0	0.0	2.0
1.1450231948438434	1.3110781167304022	0.0	0.0	2.0
1.3578884887060259	1.8438611477603348	0.0	0.0	2.0
1.4550067651712624	2.117044686694141	0.0	0.0	2.0
1.4802432957771279	2.1911202146931337	0.0	0.0	2.0
1.659776535758863	2.7548581486556922	0.0	0.0	2.0
1.671560183185787	2.7941134460121013	0.0	0.0	2.0
1.7038118218875242	2.9029747244036845	0.0	0.0	2.0
1.8412482239774386	3.390195022300072	0.0	0.0	2.0
1.9085815924751302	3.6426836951349038	0.0	0.0	2.0
2.5309058941268203	6.40548464492588	0.0	0.0	2.0
2.8047997306027126	7.866901528789049	0.0	0.0	2.0
2.878758804129556	8.287252252353433	0.0	0.0	2.0
3.0536047873189878	9.324502197137441	0.0	0.0	2.0
3.2148684024208114	10.33537884488374	0.0	0.0	2.0
3.5683581282340127	12.733179731333747	0.0	0.0	2.0
12.096255337107003	146.31939318048964	0.0	0.0	2.0
12.196269076688225	148.74897939098145	0.0	0.0	2.0
12.259797869731436	150.30264380667145	0.0	0.0	2.0
12.351252713312423	152.55344358810748	0.0	0.0	2.0
12.517924987971185	156.6984460044734	0.0	0.0	2.0
12.64597411825791	159.92066139964894	0.0	0.0	2.0
12.94516506085882	167.57729845287992	0.0	0.0	2.0
-6.293353059246886	39.60629272833214	-0.5	0.25	3.0
-5.577771528522009	31.111535224390746	-0.5	0.25	3.0
-5.26323324050936	27.701624144002654	-0.5	0.25	3.0
-4.723616632676712	22.312554092500076	-0.5	0.25	3.0
-4.713381323077848	22.215963496739086	-0.5	0.25	3.0
-4.50861155249025	20.327578131248544	-0.5	0.25	3.0
-4.2717229009196895	18.247616542241726	-0.5	0.25	3.0
-3.9151711048606317	15.32856478033562	-0.5	0.25	3.0
-3.781492694814397	14.299687000934652	-0.5	0.25	3.0
-3.4802661056679005	12.112252166260815	-0.5	0.25	3.0
-3.4737492930440954	12.066934150924352	-0.5	0.25	3.0
-3.3865128107233384	11.468469017193286	-0.5	0.25	3.0
-3.3635883576464054	11.313726639694442	-0.5	0.25	3.0
-3.215664041947345	10.340495230673136	-0.5	0.25	3.0
-3.1720879501548267	10.062141963517451	-0.5	0.25	3.0
-2.848835016731379	8.115860952554877	-0.5	0.25	3.0
-2.844641381745997	8.091984590741774	-0.5	0.25	3.0
-2.600029960015111	6.76015579297618	-0.5	0.25	3.0
-2.4968189111142958	6.234104674897978	-0.5	0.25	3.0
-2.3628473577861087	5.583047636196795	-0.5	0.25	3.0
-2.3352429108240655	5.4533594525540545	-0.5	0.25	3.0
-2.2152100502800645	4.907155566861806	-0.5	0.25	3.0
-2.14525800208712	4.602131895518822	-0.5	0.25	3.0
-2.130473140236453	4.538915801268973	-0.5	0.25	3.0
-2.0214349590111436	4.086199293512384	-0.5	0.25	3.0
-1.8204895699090375	3.3141822741475924	-0.5	0.25	3.0
-1.7766757286797272	3.1565766448796397	-0.5	0.25	3.0
-1.6815202646440417	2.827510400408568	-0.5	0.25	3.0
-1.615719799321436	2.6105504699193016	-0.5	0.25	3.0
-1.5799120743315314	2.4961221626185623	-0.5	0.25	3.0
-1.571684513192765	2.4701922090099786	-0.5	0.25	3.0
-1.5234513021326208	2.320903869969578	-0.5	0.25	3.0
-1.5064815539930771	2.2694866725213965	-0.5	0.25	3.0
-1.4378849879975455	2.0675132387087016	-0.5	0.25	3.0
-1.3669147426051653	1.8684559135513454	-0.5	0.25	3.0
-1.3591596189988149	1.8473148699170037	-0.5	0.25	3.0
-1.2561059161609602	1.5778020726145652	-0.5	0.25	3.0
-1.2100668988872476	1.4642618997826002	-0.5	0.25	3.0
-1.106329389510237	1.2239647180940938	-0.5	0.25	3.0
-0.8625593569639989	0.7440086442861472	-0.5	0.25	3.0
-0.7717609158688976	0.5956149112627996	-0.5	0.25	3.0
-0.6572200858327468	0.4319382412220031	-0.5	0.25	3.0
-0.47069660447759337	0.22155529346673597	-0.5	0.25	3.0
-0.4657682758164856	0.2169400867570618	-0.5	0.25	3.0
-0.37782945499249454	0.14275509705992545	-0.5	0.25	3.0
-0.3207979000235559	0.10291129265952337	-0.5	0.25	3.0
-0.29286179315370475	0.08576802988920335	-0.5	0.25	3.0
-0.23729989258542084	0.05631123902105226	-0.5	0.25	3.0
-0.2218915477613157	0.049235858967912244	-0.5	0.25	3.0
-0.21113741152768561	0.04457900654661127	-0.5	0.25	3.0
-0.0956693957302166	0.009152633279384786	-0.5	0.25	3.0
-0.08809202256610504	0.00776020443978716	-0.5	0.25	3.0
0.10253716988550021	0.01051387120812793	-0.5	0.25	3.0
0.13469504329015258	0.018142754686936078	-0.5	0.25	3.0
0.2218915477613166	0.04923585896791264	-0.5	0.25	3.0
0.2928617931537012	0.08576802988920126	-0.5	0.25	3.0
0.30867843650791027	0.09528237716496799	-0.5	0.25	3.0
0.3428646853840238	0.11755619248348563	-0.5	0.25	3.0
0.4266613183489172	0.18203988057523607	-0.5	0.25	3.0
0.44908125757672135	0.20167397590668953	-0.5	0.25	3.0
0.4683950032313192	0.21939387905206753	-0.5	0.25	3.0
0.4706966044775843	0.22155529346672745	-0.5	0.25	3.0
0.5684752108339826	0.32316406533274095	-0.5	0.25	3.0
0.6754663750651888	0.4562548238437063	-0.5	0.25	3.0
0.6806649486291747	0.46330477229235706	-0.5	0.25	3.0
0.7729491078212076	0.5974503232816009	-0.5	0.25	3.0
0.9104917759591018	0.8289952740891592	-0.5	0.25	3.0
0.9356014255089238	0.8753500274143302	-0.5	0.25	3.0
0.9402534242562398	0.8840765018255845	-0.5	0.25	3.0
0.9617387242499698	0.9249413737219594	-0.5	0.25	3.0
1.2259659527010198	1.5029925171821192	-0.5	0.25	3.0
1.2738307469120524	1.6226447717785175	-0.5	0.25	3.0
1.3318797877672734	1.7739037690629973	-0.5	0.25	3.0
1.455006765171266	2.1170446866941512	-0.5	0.25	3.0
1.5341118296689924	2.3534991059303434	-0.5	0.25	3.0
1.5716845131927704	2.4701922090099955	-0.5	0.25	3.0
1.6162555845926807	2.612282114727028	-0.5	0.25	3.0
1.7038118218875287	2.9029747244036996	-0.5	0.25	3.0
1.7631887521241785	3.1088345756172178	-0.5	0.25	3.0
1.820489569909042	3.314182274147609	-0.5	0.25	3.0
1.8424100421971419	3.394474763588874	-0.5	0.25	3.0
1.9880062778052165	3.9521689605929518	-0.5	0.25	3.0
2.0732299780586674	4.298282541921142	-0.5	0.25	3.0
2.155501570231931	4.646187019272321	-0.5	0.25	3.0
2.2561919748690107	5.0904022274633265	-0.5	0.25	3.0
2.335242910824056	5.453359452554011	-0.5	0.25	3.0
2.3893387508123967	5.708939666133744	-0.5	0.25	3.0
2.5221039383926156	6.361008276055543	-0.5	0.25	3.0
2.600029960015118	6.760155792976217	-0.5	0.25	3.0
2.6093668777748684	6.808795502828565	-0.5	0.25	3.0
2.6510677867865384	7.028160410137275	-0.5	0.25	3.0
2.78121529011345	7.735158489960843	-0.5	0.25	3.0
2.8047997306027304	7.866901528789149	-0.5	0.25	3.0
2.848835016731379	8.115860952554877	-0.5	0.25	3.0
2.944315380497094	8.668993059831747	-0.5	0.25	3.0
3.0006014577940876	9.003609108516004	-0.5	0.25	3.0
3.0536047873189913	9.324502197137463	-0.5	0.25	3.0
3.1080569340135957	9.660017905069992	-0.5	0.25	3.0
3.2886380903047625	10.815140489003355	-0.5	0.25	3.0
3.3555199143374588	11.259513895515267	-0.5	0.25	3.0
3.3635883576463983	11.313726639694394	-0.5	0.25	3.0
3.5683581282340144	12.73317973133376	-0.5	0.25	3.0
4.094475143902655	16.76472670403667	-0.5	0.25	3.0
4.396878267299219	19.332538497448184	-0.5	0.25	3.0
4.713381323077855	22.215963496739153	-0.5	0.25	3.0
8.856844706292332	78.4436981513785	-0.5	0.25	3.0
9.063240086086125	82.14232085803843	-0.5	0.25	3.0
9.142215085679084	83.58009667281821	-0.5	0.25	3.0
9.340602093465499	87.24684746845206	-0.5	0.25	3.0
9.64439812850669	93.01441526114336	-0.5	0.25	3.0
9.786971397406845	95.78480913365968	-0.5	0.25	3.0
10.711541961665002	114.73713119651012	-0.5	0.25	3.0
10.876469367431369	118.29758590067293	-0.5	0.25	3.0
10.95203732919559	119.94712166009369	-0.5	0.25	3.0
11.053014838658747	122.16913702361045	-0.5	0.25	3.0
11.102948853928634	123.27547325295517	-0.5	0.25	3.0
11.286122395806359	127.37655873312187	-0.5	0.25	3.0
11.823687553126895	139.79958735396787	-0.5	0.25	3.0
11.896974312632569	141.5379977954392	-0.5	0.25	3.0
11.968851343965362	143.25340249394145	-0.5	0.25	3.0
12.05948472914864	145.43117193256924	-0.5	0.25	3.0
12.140132098845985	147.38280737743062	-0.5	0.25	3.0
12.177770696283321	148.29809913125678	-0.5	0.25	3.0
12.254269887264547	150.16713046991865	-0.5	0.25	3.0
12.266824875149188	150.4749925175789	-0.5	0.25	3.0
12.37256326132271	153.08032165543247	-0.5	0.25	3.0
12.483629827603554	155.84101367263315	-0.5	0.25	3.0
12.53880340756189	157.22159089348565	-0.5	0.25	3.0
12.59240427613003	158.56864545349785	-0.5	0.25	3.0
12.867099368917035	165.56224616958517	-0.5	0.25	3.0
13.157745971985634	173.12627906330417	-0.5	0.25	3.0
13.207720230666002	174.44387369154398	-0.5	0.25	3.0
13.229352169258497	175.01575881826452	-0.5	0.25	3.0
13.341796396242724	178.00353107879536	-0.5	0.25	3.0
13.548153553544726	183.5524647104266	-0.5	0.25	3.0
13.70838820410965	187.91990715457257	-0.5	0.25	3.0
13.757455845201399	189.26759133266614	-0.5	0.25	3.0
13.845180420693136	191.68902088154456	-0.5	0.25	3.0
14.015141894284675	196.42420231693342	-0.5	0.25	3.0
14.06749021291419	197.89428089043653	-0.5	0.25	3.0
14.139179793527102	199.9164052336851	-0.5	0.25	3.0
14.392532859497798	207.14500211172387	-0.5	0.25	3.0
14.491284532437817	209.99732740007153	-0.5	0.25	3.0
14.55640400291717	211.888897496143	-0.5	0.25	3.0
14.660991485235996	214.94467133016238	-0.5	0.25	3.0
14.814612449391365	219.47274202566163	-0.5	0.25	3.0
15.129676334306922	228.90710598088694	-0.5	0.25	3.0
-6.193236356465018	38.356176567040094	-1.0	1.0	4.0
-5.790504223518454	33.52993916258505	-1.0	1.0	4.0
-5.203963176518048	27.081232742555812	-1.0	1.0	4.0
-4.834590764680449	23.37326786193349	-1.0	1.0	4.0
-4.713381323077854	22.215963496739143	-1.0	1.0	4.0
-4.534373681084652	20.56054467971318	-1.0	1.0	4.0
-4.308227398831313	18.560823320040825	-1.0	1.0	4.0
-4.190752510821998	17.56240660696088	-1.0	1.0	4.0
-4.095535522046763	16.77341121234685	-1.0	1.0	4.0
-3.9370932118517246	15.500702958808928	-1.0	1.0	4.0
-3.789901505029338	14.36335341782364	-1.0	1.0	4.0
-3.665769409340374	13.437865362455675	-1.0	1.0	4.0
-3.5683581282340064	12.733179731333703	-1.0	1.0	4.0
-3.4679432778653805	12.02663057849168	-1.0	1.0	4.0
-3.377737737162449	11.409112221051302	-1.0	1.0	4.0
-3.363588357646421	11.313726639694547	-1.0	1.0	4.0
-3.32217667731717	11.036857875310153	-1.0	1.0	4.0
-3.2575437537111576	10.611591307342579	-1.0	1.0	4.0
-3.2031167271959937	10.259956768042773	-1.0	1.0	4.0
-3.0536047873189958	9.32450219713749	-1.0	1.0	4.0
-3.039566550591057	9.238964815472016	-1.0	1.0	4.0
-2.9428542706482297	8.660391258272524	-1.0	1.0	4.0
-2.8488350167313854	8.115860952554913	-1.0	1.0	4.0
-2.843797158080153	8.087182276304754	-1.0	1.0	4.0
-2.804799730602715	7.866901528789062	-1.0	1.0	4.0
-2.7881531943421676	7.773798235120433	-1.0	1.0	4.0
-2.60002996001511	6.7601557929761755	-1.0	1.0	4.0
-2.538125635671591	6.442081742453317	-1.0	1.0	4.0
-2.459684224727525	6.050046485373445	-1.0	1.0	4.0
-2.415714320172267	5.835675676685358	-1.0	1.0	4.0
-2.342548360975111	5.487532823507179	-1.0	1.0	4.0
-2.335242910824077	5.453359452554109	-1.0	1.0	4.0
-2.207705655934401	4.873964263244743	-1.0	1.0	4.0
-2.0859036348611095	4.350993973926789	-1.0	1.0	4.0
-2.070391598700664	4.2865213719702915	-1.0	1.0	4.0
-2.0076123799691246	4.030507468205292	-1.0	1.0	4.0
-1.980419026904837	3.9220595221267014	-1.0	1.0	4.0
-1.8358284677994774	3.370266163182977	-1.0	1.0	4.0
-1.8204895699090133	3.3141822741475044	-1.0	1.0	4.0
-1.7385439952523143	3.022535223427879	-1.0	1.0	4.0
-1.7038118218875438	2.902974724403751	-1.0	1.0	4.0
-1.692193844098155	2.8635200060036907	-1.0	1.0	4.0
-1.6007966853437736	2.5625500278076125	-1.0	1.0	4.0
-1.5716845131927926	2.470192209010065	-1.0	1.0	4.0
-1.4610717674746565	2.134730709711517	-1.0	1.0	4.0
-1.455006765171283	2.117044686694201	-1.0	1.0	4.0
-1.4087313210036783	1.9845239347767685	-1.0	1.0	4.0
-1.3730626892222233	1.8853011485341638	-1.0	1.0	4.0
-1.2493687949095502	1.5609223856937418	-1.0	1.0	4.0
-1.1165913229112787	1.2467761824007595	-1.0	1.0	4.0
-1.1015673742393295	1.213450679988531	-1.0	1.0	4.0
-1.069118213649169	1.1430137547563903	-1.0	1.0	4.0
-1.020480194522655	1.0413798274129957	-1.0	1.0	4.0
-0.9439876287516283	0.891112643236122	-1.0	1.0	4.0
-0.940253424256257	0.8840765018256168	-1.0	1.0	4.0
-0.8590426646394747	0.7379542996708889	-1.0	1.0	4.0
-0.7673360218028691	0.5888045703562532	-1.0	1.0	4.0
-0.7360349708896443	0.5417474783725196	-1.0	1.0	4.0
-0.6754663750651666	0.4562548238436763	-1.0	1.0	4.0
-0.6394830255091648	0.40893853991435514	-1.0	1.0	4.0
-0.5489023163921054	0.301293752940619	-1.0	1.0	4.0
-0.4706966044775638	0.22155529346670813	-1.0	1.0	4.0
-0.459841110427962	0.21145384683962115	-1.0	1.0	4.0
-0.4266613183489021	0.18203988057522316	-1.0	1.0	4.0
-0.4072401914593229	0.16584457353982596	-1.0	1.0	4.0
-0.36495313550863173	0.13319079111758172	-1.0	1.0	4.0
-0.3242671617185735	0.1051491921690195	-1.0	1.0	4.0
-0.29286179315369054	0.08576802988919502	-1.0	1.0	4.0
-0.24745184355925431	0.06123241488087367	-1.0	1.0	4.0
-0.22189154776131303	0.049235858967911064	-1.0	1.0	4.0
