E	Esq	M	Msq	N_tot
0.0	0.0	0.0	0.0	0.0
-3.093627615110502	9.570531820974294	-0.5	0.25	1.0
-1.778192301951298	3.161967862718856	-0.5	0.25	1.0
-0.18922991595268934	0.03580796109146187	-0.5	0.25	1.0
0.6761507731115743	0.4571798679793797	-0.5	0.25	1.0
1.000000000000003	1.0000000000000062	-0.5	0.25	1.0
1.5412184743276718	2.375354385608916	-0.5	0.25	1.0
1.8436805855752483	3.39915810162709	-0.5	0.25	1.0
-4.87181991706181	23.73462930428014	-1.0	1.0	2.0
-3.2828575310631867	10.777153569258282	-1.0	1.0	2.0
-2.417476841998926	5.8441942816011	-1.0	1.0	2.0
-2.0936276151105013	4.383276590753286	-1.0	1.0	2.0
-1.967422217903994	3.870750183502271	-1.0	1.0	2.0
-1.5524091407828222	2.40997414038606	-1.0	1.0	2.0
-1.2499470295352535	1.562367576644004	-1.0	1.0	2.0
-1.1020415288397278	1.2144955312874046	-1.0	1.0	2.0
-0.7781923019513042	0.6055832588162697	-1.0	1.0	2.0
-0.2369738276236304	0.05615659497859409	-1.0	1.0	2.0
0.0654882836239441	0.004288715292010145	-1.0	1.0	2.0
0.48692085715888256	0.23709192113634092	-1.0	1.0	2.0
0.8107700840473102	0.6573481291860824	-1.0	1.0	2.0
1.3519885583749813	1.8278730619768604	-1.0	1.0	2.0
1.65445066962256	2.737207018214537	-1.0	1.0	2.0
1.6761507731115748	2.80948141420253	-1.0	1.0	2.0
2.2173692474392452	4.916726379489285	-1.0	1.0	2.0
2.5198313586868215	6.3495500762214725	-1.0	1.0	2.0
2.541218474327672	6.457791334264261	-1.0	1.0	2.0
2.8436805855752483	8.086519272777586	-1.0	1.0	2.0
3.3848990599029203	11.457541645731673	-1.0	1.0	2.0
-5.061049833014488	25.61422541225598	-1.5	2.25	3.0
-4.195669143950232	17.60363956549607	-1.5	2.25	3.0
-3.871819917061801	14.990989470156451	-1.5	2.25	3.0
-3.330601442734131	11.092905970342674	-1.5	2.25	3.0
-3.028139331486555	9.16962781089584	-1.5	2.25	3.0
-2.606706757951617	6.79492012195063	-1.5	2.25	3.0
-2.2828575310631862	5.2114385071319065	-1.5	2.25	3.0
-1.741639056735516	3.033306603946578	-1.5	2.25	3.0
-1.4391769454879402	2.0712302804239977	-1.5	2.25	3.0
-1.4174768419989237	2.0092405976032417	-1.5	2.25	3.0
-1.2912714447924198	1.6673819441363034	-1.5	2.25	3.0
-0.9674222179039917	0.9359057476942785	-1.5	2.25	3.0
-0.8762583676712561	0.7678287269138943	-1.5	2.25	3.0
-0.5737962564236767	0.32924214388582573	-1.5	2.25	3.0
-0.5524091407828271	0.3051558588204213	-1.5	2.25	3.0
-0.42620374357631796	0.1816496310384678	-1.5	2.25	3.0
-0.24994702953525127	0.06247351757349577	-1.5	2.25	3.0
-0.12374163232874213	0.0153119915713816	-1.5	2.25	3.0
-0.1020415288397265	0.010412473607948735	-1.5	2.25	3.0
0.2912714447924225	0.08483905455146523	-1.5	2.25	3.0
0.4391769454879437	0.1928763894481203	-1.5	2.25	3.0
0.7416390567355209	0.5500284904755531	-1.5	2.25	3.0
0.7630261723763696	0.5822089397313333	-1.5	2.25	3.0
1.0654882836239468	1.135265282539904	-1.5	2.25	3.0
1.486920857158883	2.2109336354541074	-1.5	2.25	3.0
1.6067067579516197	2.5815066060474043	-1.5	2.25	3.0
2.028139331486555	4.11334914792273	-1.5	2.25	3.0
2.3306014427341313	5.431703084874414	-1.5	2.25	3.0
2.351988558374982	5.5318501787268275	-1.5	2.25	3.0
