Temp	E	M	C	Chi	N_tot	lnZ	S
0.1	-0.21981722593079248	-9.41646447290307e-13	3.422959324611241	-10.871218298028024	1.0000000000000289	162.0761694273349	-0.12200283197765316
0.2	-0.13023133151969102	-4.630787575827419e-13	0.19300803856820917	0.147597762307482	1.000000000000036	81.25660977911681	0.605453121515481
0.30000000000000004	-0.11872231190205573	-3.8992380772753975e-13	0.072966614813748	0.42426086925523365	1.0	54.38274260143304	0.6536682284261914
0.4	-0.11315784362879587	-2.23874752448166e-13	0.042836481599879	0.3950882442072913	0.999999999999992	40.95277572531408	0.669881116242415
0.5	-0.10965321623386598	-1.9009538379671462e-13	0.028712474951219934	0.34911505847741897	1.0000000000006044	32.897066188801944	0.6777597563148703
0.6	-0.10721914665129635	-1.763976587931458e-13	0.020637878224826735	0.30919739704433974	1.0000000000484026	27.527585131329847	0.682219885620281
0.7000000000000001	-0.10542779647335668	-1.0461830108602883e-13	0.01555086975377168	0.27646675090025624	1.0000000009776215	23.692745314312567	0.684991297004995
0.8	-0.10405412008923766	-1.037081280401219e-13	0.012154765049433053	0.24962660687331595	1.0000000088166234	20.816898307500264	0.6868304810562478
0.9	-0.10296566611154266	-9.588528260780409e-14	0.009845307357658591	0.2273686132141873	1.000000046733358	18.580299428649656	0.6881145243771307
1.0	-0.10207585347280551	-9.147995078149686e-14	0.008375928704620433	0.20866951113599097	1.000000171504054	16.79113006577226	0.6890514682345916
1.1	-0.10131986110259225	-9.589315686907854e-14	0.007723086006663635	0.19276458874769964	1.0000004831578062	15.327338615810245	0.6897680779670718
1.2000000000000002	-0.10064047663767826	-8.749181581710727e-14	0.008011273550885397	0.17908365157951256	1.000001118645018	14.107566030677857	0.690350718212887
1.3000000000000003	-0.09997933749858468	-8.889335887132146e-14	0.009456512030785543	0.16719723005589046	1.0000022304958032	13.075492595777513	0.6908656531379496
1.4000000000000001	-0.0992716892078873	-5.1105576153174344e-14	0.012318535154912522	0.1567773973514407	1.0000039590899004	12.190894282119313	0.6913692573719619
1.5000000000000002	-0.09844371468986786	-6.756746372207317e-14	0.01686110621867461	0.14757017429432667	1.0000064080099604	11.42427704211527	0.6919128802157815
1.6	-0.09741181057851268	-4.603401852674126e-14	0.02332143946798905	0.13937614797743503	1.0000096283392659	10.753523447872855	0.6925447828686249
1.7000000000000002	-0.09608330670448235	-4.093550142138088e-14	0.031889036177751406	0.13203674664788265	1.000013613375084	10.161722931713706	0.6933105077691035
1.8000000000000003	-0.09435818779789404	-5.744870435476749e-14	0.04269329674466821	0.12542439927565388	1.0000183021846771	9.635725276370206	0.694252485952024
1.9000000000000001	-0.09213143196118036	-6.154768802659795e-14	0.05579859618689161	0.11943538274701006	1.000023589082363	9.165150868114742	0.6954093642836945
2.0	-0.08929564201986673	-4.3678820473806496e-14	0.07120519079545981	0.11398454985203456	1.0000293360509982	8.741697839405308	0.6968153299873894
2.1	-0.08574371272136863	-2.4703963009316653e-14	0.08885429038392868	0.10900139063797772	1.0000353857130122	8.358647141631918	0.6984995777606979
2.2	-0.08137134374959475	-3.847611146509109e-14	0.1086357850172097	0.10442705177635159	1.0000415732456913	8.010502578298315	0.7004859802616537
2.3000000000000003	-0.07607927038758203	-3.326495404334022e-14	0.13039736829481913	0.10021205343258555	1.0000477363548703	7.692724732930053	0.7027929711624425
2.4000000000000004	-0.06977513674533647	-4.4088091831631985e-14	0.1539540843821009	0.09631452051779266	1.000053722958603	7.401531414234972	0.7054336208670628
2.5000000000000004	-0.062374979061446525	-4.198114720454747e-14	0.17909759943113512	0.09269879795666977	1.0000593966143665	7.1337460007610805	0.7084158708045578
2.6	-0.05380431856895288	-2.0570696187147953e-14	0.20560473574683505	0.08933435599539288	1.0000646399147326	6.886680794379015	0.711742887761833
2.7	-0.043998885741260915	-4.8274575076194165e-14	0.2332449992413573	0.08619491698705106	1.000069356191362	6.658046309977593	0.7154135007912767
2.8000000000000003	-0.03290501191393628	-2.1163189068683054e-14	0.2617869768193271	0.0832577530483695	1.0000734698840996	6.445880019659887	0.7194226874957694
2.9000000000000004	-0.020479732003390025	-3.928199220374577e-14	0.2910035849684683	0.08050311682051418	1.0000769259033904	6.248489856729932	0.723762082089368
3.0000000000000004	-0.00669064493654066	-4.168058878968443e-14	0.32067622092868553	0.07791377685343949	1.0000796883020808	6.064409035873081	0.7284204832831378
3.1	0.008484422114815343	-2.833697769508589e-14	0.35059791078760816	0.07547463591556369	1.0000817384858425	5.892359633967352	0.7333843456903644
3.2	0.025057902370870022	-2.9235119638400346e-14	0.38057557157564254	0.07317241554792309	1.000083073168181	5.7312230144373775	0.7386382430873697
3.3000000000000003	0.0430330917411097	-2.143037540233521e-14	0.41043151275458306	0.07099539391954222	1.0000837022236175	5.58001564250786	0.7441652958906575
3.4000000000000004	0.06240483035833558	-3.2786985427338087e-14	0.44000430110722333	0.06893318685985683	1.0000836465436633	5.437869180342951	0.7499475584781647
3.5000000000000004	0.08316023390649024	-1.3837617422757601e-14	0.46914910552951666	0.06697656408480651	1.0000829359814913	5.304014004916498	0.7559663644029637
3.6	0.10527945015894896	-2.6706028098333386e-14	0.4977376272503274	0.06511729427604765	1.0000816074358643	5.1777654819033625	0.7622026294547846
3.7	0.1287364206771053	-2.7949551113053448e-14	0.5256577084130665	0.06334801394242703	1.000079703105487	5.058512473062256	0.7686371138701791
3.8000000000000003	0.15349963171660155	-3.1895779123068313e-14	0.552812699012869	0.06166211598199313	1.0000772689345685	4.94570766462906	0.7752506458826138
